NORMALITY:
                                                         W      pval  normal
          retweets_distilbert_True_MLPClassifier            retweets_fasttext_False_MLPClassifier   0.0178    0.9 -0.0166  0.0522  False
          retweets_distilbert_True_MLPClassifier   retweets_fasttext_False_RandomForestClassifier   0.0265 0.5022  -0.008  0.0609  False
          retweets_distilbert_True_MLPClassifier          retweets_fasttext_False_RidgeClassifier   0.0265 0.5022  -0.008  0.0609  False
          retweets_distilbert_True_MLPClassifier            retweets_fasttext_False_XGBClassifier   0.0334 0.0753 -0.0011  0.0678  False
          retweets_distilbert_True_MLPClassifier             retweets_fasttext_True_MLPClassifier   0.0242 0.6708 -0.0102  0.0587  False
          retweets_distilbert_True_MLPClassifier    retweets_fasttext_True_RandomForestClassifier   0.0314 0.1463 -0.0031  0.0658  False
          retweets_distilbert_True_MLPClassifier           retweets_fasttext_True_RidgeClassifier   0.0314 0.1463 -0.0031  0.0658  False
          retweets_distilbert_True_MLPClassifier             retweets_fasttext_True_XGBClassifier   0.0376 0.0137  0.0031   0.072   True
          retweets_distilbert_True_MLPClassifier               retweets_glove_False_MLPClassifier   0.0098    0.9 -0.0246  0.0442  False
          retweets_distilbert_True_MLPClassifier      retweets_glove_False_RandomForestClassifier   0.0267 0.4847 -0.0077  0.0611  False
          retweets_distilbert_True_MLPClassifier             retweets_glove_False_RidgeClassifier   0.0267 0.4847 -0.0077  0.0611  False
          retweets_distilbert_True_MLPClassifier               retweets_glove_False_XGBClassifier   0.0327 0.0939 -0.0017  0.0671  False
          retweets_distilbert_True_MLPClassifier                retweets_glove_True_MLPClassifier   0.0211    0.9 -0.0133  0.0556  False
          retweets_distilbert_True_MLPClassifier       retweets_glove_True_RandomForestClassifier   0.0249 0.6202 -0.0095  0.0593  False
          retweets_distilbert_True_MLPClassifier              retweets_glove_True_RidgeClassifier   0.0249 0.6202 -0.0095  0.0593  False
          retweets_distilbert_True_MLPClassifier                retweets_glove_True_XGBClassifier   0.0345 0.0493     0.0  0.0689   True
          retweets_distilbert_True_MLPClassifier             retweets_roberta_False_MLPClassifier   0.0432  0.001  0.0087  0.0776   True
          retweets_distilbert_True_MLPClassifier    retweets_roberta_False_RandomForestClassifier   0.0543  0.001  0.0198  0.0887   True
          retweets_distilbert_True_MLPClassifier           retweets_roberta_False_RidgeClassifier   0.0543  0.001  0.0198  0.0887   True
          retweets_distilbert_True_MLPClassifier             retweets_roberta_False_XGBClassifier   0.0656  0.001  0.0312     0.1   True
          retweets_distilbert_True_MLPClassifier              retweets_roberta_True_MLPClassifier   0.0206    0.9 -0.0138  0.0551  False
          retweets_distilbert_True_MLPClassifier     retweets_roberta_True_RandomForestClassifier   0.0556  0.001  0.0212    0.09   True
          retweets_distilbert_True_MLPClassifier            retweets_roberta_True_RidgeClassifier   0.0556  0.001  0.0212    0.09   True
          retweets_distilbert_True_MLPClassifier              retweets_roberta_True_XGBClassifier   0.0716  0.001  0.0372   0.106   True
          retweets_distilbert_True_MLPClassifier          retweets_structured_False_MLPClassifier  -0.0542  0.001 -0.0887 -0.0198   True
          retweets_distilbert_True_MLPClassifier retweets_structured_False_RandomForestClassifier  -0.0396 0.0055  -0.074 -0.0051   True
          retweets_distilbert_True_MLPClassifier        retweets_structured_False_RidgeClassifier  -0.0396 0.0055  -0.074 -0.0051   True
          retweets_distilbert_True_MLPClassifier          retweets_structured_False_XGBClassifier  -0.0482  0.001 -0.0827 -0.0138   True
 retweets_distilbert_True_RandomForestClassifier         retweets_distilbert_True_RidgeClassifier      0.0    0.9 -0.0344  0.0344  False
 retweets_distilbert_True_RandomForestClassifier           retweets_distilbert_True_XGBClassifier  -0.0018    0.9 -0.0362  0.0327  False
 retweets_distilbert_True_RandomForestClassifier            retweets_fasttext_False_MLPClassifier  -0.0138    0.9 -0.0482  0.0206  False
 retweets_distilbert_True_RandomForestClassifier   retweets_fasttext_False_RandomForestClassifier  -0.0051    0.9 -0.0395  0.0293  False
 retweets_distilbert_True_RandomForestClassifier          retweets_fasttext_False_RidgeClassifier  -0.0051    0.9 -0.0395  0.0293  False
 retweets_distilbert_True_RandomForestClassifier            retweets_fasttext_False_XGBClassifier   0.0018    0.9 -0.0327  0.0362  False
 retweets_distilbert_True_RandomForestClassifier             retweets_fasttext_True_MLPClassifier  -0.0073    0.9 -0.0418  0.0271  False
 retweets_distilbert_True_RandomForestClassifier    retweets_fasttext_True_RandomForestClassifier  -0.0002    0.9 -0.0347  0.0342  False
 retweets_distilbert_True_RandomForestClassifier           retweets_fasttext_True_RidgeClassifier  -0.0002    0.9 -0.0347  0.0342  False
 retweets_distilbert_True_RandomForestClassifier             retweets_fasttext_True_XGBClassifier    0.006    0.9 -0.0284  0.0404  False
 retweets_distilbert_True_RandomForestClassifier               retweets_glove_False_MLPClassifier  -0.0218 0.8579 -0.0562  0.0127  False
 retweets_distilbert_True_RandomForestClassifier      retweets_glove_False_RandomForestClassifier  -0.0049    0.9 -0.0393  0.0295  False
 retweets_distilbert_True_RandomForestClassifier             retweets_glove_False_RidgeClassifier  -0.0049    0.9 -0.0393  0.0295  False
 retweets_distilbert_True_RandomForestClassifier               retweets_glove_False_XGBClassifier   0.0011    0.9 -0.0333  0.0355  False
 retweets_distilbert_True_RandomForestClassifier                retweets_glove_True_MLPClassifier  -0.0104    0.9 -0.0449   0.024  False
 retweets_distilbert_True_RandomForestClassifier       retweets_glove_True_RandomForestClassifier  -0.0067    0.9 -0.0411  0.0278  False
 retweets_distilbert_True_RandomForestClassifier              retweets_glove_True_RidgeClassifier  -0.0067    0.9 -0.0411  0.0278  False
 retweets_distilbert_True_RandomForestClassifier                retweets_glove_True_XGBClassifier   0.0029    0.9 -0.0315  0.0373  False
 retweets_distilbert_True_RandomForestClassifier             retweets_roberta_False_MLPClassifier   0.0116    0.9 -0.0229   0.046  False
 retweets_distilbert_True_RandomForestClassifier    retweets_roberta_False_RandomForestClassifier   0.0227 0.7887 -0.0117  0.0571  False
 retweets_distilbert_True_RandomForestClassifier           retweets_roberta_False_RidgeClassifier   0.0227 0.7887 -0.0117  0.0571  False
 retweets_distilbert_True_RandomForestClassifier             retweets_roberta_False_XGBClassifier    0.034 0.0584 -0.0004  0.0685  False
 retweets_distilbert_True_RandomForestClassifier              retweets_roberta_True_MLPClassifier  -0.0109    0.9 -0.0454  0.0235  False
